TEIL;FA;COUNT;MIN;MAX;AVG;MIN_O;MAX_O;AVG_O
B;6482;98;307000;1700000;446357.14;1;1;1.00
B;6988;96;294000;2020000;480020.83;1;1;1.00
B;7262;96;288000;1581000;471052.08;1;1;1.00
B;7597;100;292000;2157000;469100.00;1;3;1.04
B;7183;98;287000;2677000;565173.47;1;1;1.00
B;8036;98;291000;3059000;499938.78;1;1;1.00
B;8742;98;290000;1051000;397397.96;1;1;1.00
B;9049;101;293000;3179000;596435.64;1;2;1.03
B;6989;103;289000;3141000;528495.15;1;2;1.03
B;7840;100;281000;2924000;489780.00;1;1;1.00
B;9221;104;294000;1547000;441923.08;1;2;1.02
B;5714;105;324000;3117000;639761.90;1;3;1.05
B;6451;98;298000;3202000;492867.35;1;1;1.00
B;7110;98;290000;2989000;467214.29;1;1;1.00
B;7772;99;286000;2895000;489626.26;1;1;1.00
B;6100;101;330000;2543000;677811.88;1;2;1.03
B;8937;101;284000;1923000;412514.85;1;2;1.01
B;6862;98;280000;3175000;577622.45;1;1;1.00
B;9324;106;287000;2177000;584377.36;1;2;1.07
B;9414;100;304000;2593000;512440.00;1;1;1.00
B;9523;105;303000;3394000;542780.95;1;2;1.05
B;9612;104;298000;1905000;484134.62;1;1;1.00
B;8266;101;287000;2382000;458633.66;1;2;1.01
B;6025;96;262000;2561000;586614.58;1;2;1.01
B;5945;100;334000;2679000;537480.00;1;2;1.02
B;9126;104;285000;2644000;494490.38;1;2;1.05
B;5866;101;365000;1643000;620544.55;1;2;1.02
B;6024;100;326000;3351000;546090.00;1;1;1.00
B;6177;99;327000;1542000;545545.45;1;2;1.01
B;6777;108;284000;2457000;519462.96;1;3;1.08
B;7884;101;295000;2971000;497663.37;1;2;1.01
B;8465;100;284000;3096000;467350.00;1;2;1.02
B;6652;110;298000;2647000;540236.36;1;2;1.07
B;9702;101;284000;2657000;433702.97;1;2;1.01
B;6486;100;280000;2790000;514090.00;1;2;1.01
B;6402;102;292000;2881000;477813.73;1;2;1.02
B;8114;99;286000;2936000;516545.45;1;2;1.01
B;8660;100;303000;2345000;581580.00;1;2;1.02
B;9325;100;297000;2580000;446650.00;1;1;1.00
B;6403;102;294000;3317000;580911.76;1;2;1.01
B;9610;101;299000;2232000;423841.58;1;2;1.01
B;8121;98;292000;1870000;393612.24;1;1;1.00
B;9328;100;292000;1352000;476360.00;1;1;1.00
