Lagerout;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
005800;99;5,53;95,2;14,32151515
005801;100;5,58;69,78;15,7728
005802;100;5,51;8313,32;180,2328
005803;100;5,52;73,01;13,6373
005804;90;5,26;28307,67;643,6384444
005805;90;5,22;54,09;14,74566667
005806;90;5,21;87,88;11,69666667
005807;90;5,24;9141,93;215,5667778
005808;90;5,33;82;12,94666667
005809;90;5,22;9140,68;216,7194444
005810;92;5,25;9799,1;230,996413
005811;90;5,07;8366,15;204,2101111
005812;90;6,18;73,9;13,24166667
005813;91;5,96;92,96;14,99252747
005814;90;5,13;59,72;13,44577778
005815;89;5,14;55,75;13,52573034
005816;90;5,05;92,56;13,09011111
005817;90;5,1;8303,22;195,8703333
005818;90;5,08;56,32;11,90011111
005819;90;5,01;28324,44;328,4504444
005820;90;5;49,49;12,14911111
005821;90;5,91;78,8;15,10666667
005822;90;4,95;238,92;26,40466667
005823;76;0,47;9190,92;256,991579
005824;90;3,83;9011,82;222,0706667
005825;90;4,98;82,63;18,21244444
005826;80;5,09;48,04;11,111
005827;80;5,01;85,55;14,982875
005828;80;5,01;8299,77;219,921375
005829;80;5,04;51,73;13,766375
005830;80;5,02;84,11;17,337
005831;80;6,84;73,03;16,5155
005832;80;6,82;105,81;16,992125
005833;81;6,45;171,49;19,78975309
005834;80;6,44;51,05;16,89125
005835;100;6,18;62,23;16,7376
005836;100;6,18;9285,59;206,9018
005837;100;6,13;28306,71;584,7629
005838;100;6,36;9135,96;200,1243
005839;100;6,41;190,65;22,055
005840;100;6,33;9296,83;205,7589
005841;41;6,45;9135,08;462,7326829
005842;100;5,27;155,11;17,0648
005843;100;5,26;8305,66;180,1745
005844;98;5,27;84,04;15,08030612
005845;100;5,3;215,59;24,829
005846;100;5,45;8331,82;181,5903
005847;100;5,36;8310,11;182,2512
005848;101;5,4;466,77;24,03950495
005849;100;5,52;109,44;18,001
005850;100;5,24;28389,76;587,8311
005851;100;5,23;89,71;14,4332
005852;100;5,26;50,95;16,8741
005853;101;5,24;8305;267,9836634
005854;100;5,91;76,66;13,7115
005855;100;5,32;270,92;18,4603
005856;100;5,76;28321,91;581,8689
005857;100;6,2;63,96;16,3895
005858;100;6,21;98,1;15,7979
005859;101;6,19;172,14;18,19089109
005860;100;6,19;88,06;15,7681
005861;100;6,22;8302,45;180,3542
005862;100;6,22;92,5;15,5026
005863;100;6,13;47,8;13,8978
005864;100;6,12;94,66;16,5656
005865;100;6,12;71,81;13,4338
005866;100;4,91;181,79;17,8763
005867;100;6,21;101,81;15,5818
005868;100;5,21;8320,96;182,0911
005869;100;6,24;59,81;14,8703
005872;98;6,44;84,89;23,58346939
005873;100;6,25;29139,28;796,6771
005874;98;6,27;102,08;19,54857143
005875;100;5,96;9146,92;198,575
005876;100;5,98;9184,34;203,7461
005877;95;6;9254,77;218,5578947
005878;98;6,15;9234,02;117,0620408
005879;100;5,54;194,65;18,6142
005880;100;5,38;228,07;21,1452
005881;100;5,37;28331,29;584,5654
005882;99;5,96;8312,76;180,8528283
005883;101;5,96;87,78;13,68128713
005884;100;5,82;100,96;17,0294
005885;101;5,43;108,03;14,81128713
005886;90;5,4;71,81;12,60022222
005887;90;5,39;85,9;17,78155556
005888;90;5,32;87,72;14,84044444
005889;91;5,31;46,67;15,17076923
005890;90;5,34;9101,82;216,95
005891;90;5,27;90,66;13,71222222
005892;88;5,27;9208,97;221,4328409
005893;90;5,14;83,78;17,45044444
005894;89;4,56;9258,23;228,1321348
005895;90;4,46;85,06;12,74366667
005896;90;4,34;64,83;12,45866667
005897;90;4,47;78,58;10,85566667
005898;90;4,51;78,72;14,23522222
005899;94;4,52;8317,28;198,7206383
005900;90;4,52;93,23;13,07522222
005901;89;4,52;87,83;16,5458427
005902;90;4,97;190,04;14,79488889
005903;90;5;28314,97;641,6717778
005904;90;4,54;148,1;17,57922222
005905;90;5,42;83,74;16,26277778
005906;90;5,38;8316,28;198,7528889
005907;90;5,3;311,56;21,76711111
005908;90;4,92;47;13,06977778
005909;80;7,16;8388,19;226,356125
005910;81;5;8401,3;323,4377778
005911;80;4,57;104,25;19,022375
005912;80;4,57;51,57;12,206375
005913;80;7,06;8368,66;232,300375
005914;80;6,96;64,69;17,032125
