Lagerin;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
000029425;102;10,14;113,31;21,48892157
000029432;102;10,13;8306,59;185,7069608
000029434;100;10,14;96,63;23,7237
000029435;90;5,09;70,21;14,13633333
000029440;90;5,01;50,14;11,02122222
000029444;90;5,03;45,54;11,02388889
000029452;92;5,95;8314,73;200,3066304
000029455;92;6,05;201,06;20,055
000029461;91;5,89;8305,48;204,0531868
000029466;90;5,9;84,03;14,95033333
000029475;102;5,39;125,49;16,63362745
000029479;102;5,35;214,03;16,25323529
000029491;102;5,92;73,15;14,51794118
000029492;107;5,32;8821,99;261,263271
000029506;101;5,74;8371,87;180,189901
000029509;106;5,34;196,77;22,95066038
000029513;106;5,36;211,09;28,85113208
000029527;84;10,27;8340,24;521,1171429
000029532;80;5;90,09;13,30025
000029537;80;5,04;72,68;11,019875
000029539;83;5,01;85,17;15,14710843
000029541;80;10,49;79,89;25,462625
000029553;101;10,2;185,87;20,65138614
000029557;104;10,12;8311,35;182,9614423
000029558;101;10,24;8322,17;190,7083168
000029560;100;10,21;72,63;22,4358
000029564;103;5,37;8447,81;260,3213592
000029568;102;5,35;8389,33;179,5586275
000029576;103;5,33;121,24;15,98116505
000029611;100;6,07;71,78;13,1362
000029617;100;5,47;56,69;12,4318
