TEIL;FA;COUNT;MIN;MAX;AVG
B;005952;100;330.0;2535.0;582.0
B;006398;101;291.0;2500.0;491.0
B;008844;100;299.0;2965.0;436.75
B;006988;98;294.0;2020.0;480.02
B;008933;100;291.0;2757.0;467.13
B;007428;100;293.0;2639.0;500.13
B;007841;100;286.0;2650.0;534.84
B;009325;100;297.0;2580.0;446.65
B;007344;99;288.0;2489.0;576.11
B;008190;100;290.0;1316.0;384.88
B;009222;100;294.0;1222.0;417.67
B;006104;100;328.0;3419.0;605.32
B;007946;100;286.0;3594.0;422.19
B;009701;99;280.0;3191.0;595.74
B;006183;101;340.0;3198.0;643.44
B;007423;100;285.0;2764.0;493.12
B;007882;100;301.0;1559.0;453.92
B;008467;100;287.0;2066.0;390.54
B;005793;97;82.0;3337.0;565.66
B;006485;100;284.0;2956.0;567.62
B;006179;100;327.0;3327.0;568.67
B;005946;101;335.0;3470.0;508.81
B;008938;100;283.0;2067.0;401.34
B;006028;100;332.0;2546.0;579.44
B;007106;100;288.0;3150.0;540.98
B;006102;100;329.0;2870.0;585.09
B;006023;100;323.0;3052.0;633.11
B;007506;101;292.0;1313.0;454.62
B;008034;101;292.0;3167.0;519.06
B;007597;100;292.0;2157.0;469.1
B;007047;100;284.0;1944.0;496.76
B;006452;99;376.0;2704.0;610.1
B;008934;101;290.0;2921.0;496.54
B;008839;100;279.0;2563.0;551.2
B;006568;99;270.0;3070.0;522.76
B;009610;100;299.0;2232.0;423.84
B;006694;100;292.0;2727.0;520.37
B;007263;100;290.0;2439.0;430.07
B;009044;100;291.0;2926.0;542.09
B;007425;100;290.0;3290.0;533.73
B;009419;100;288.0;2823.0;495.95
B;006181;100;333.0;1604.0;529.11
B;009515;100;291.0;2961.0;534.63
B;006774;101;292.0;3170.0;627.07
B;008033;100;289.0;2311.0;449.86
B;007682;100;283.0;1445.0;474.8
B;006776;99;296.0;3161.0;616.15
B;006252;100;316.0;2739.0;596.14
B;008363;96;291.0;2681.0;411.07
B;006024;100;326.0;3351.0;546.09
B;007591;100;287.0;1741.0;411.42
B;006403;101;294.0;3317.0;580.91
B;007777;100;291.0;2637.0;535.05
B;008189;100;290.0;1180.0;365.75
B;005719;100;324.0;2904.0;551.94
B;008842;100;287.0;2746.0;415.5
B;008268;100;289.0;1423.0;390.63
B;008663;99;304.0;2718.0;520.11
B;007504;100;292.0;2598.0;519.08
B;008119;100;290.0;1705.0;394.46
B;007945;99;288.0;2933.0;679.31
B;007555;99;292.0;2317.0;471.74
B;008739;100;286.0;1866.0;459.66
B;006925;99;292.0;2869.0;585.5
B;008659;100;300.0;2900.0;499.77
B;007681;100;290.0;2023.0;458.42
B;007265;100;290.0;2109.0;444.54
B;009328;100;292.0;1352.0;476.36
B;009000;100;287.0;3366.0;414.76
B;008841;100;274.0;3210.0;509.85
B;006989;100;289.0;3141.0;528.5
B;005949;100;337.0;3040.0;539.95
B;007503;103;297.0;2698.0;570.98
B;007505;100;284.0;1681.0;459.72
B;007776;100;293.0;1725.0;418.26
B;008367;100;293.0;2641.0;466.97
B;005718;100;330.0;2527.0;607.81
B;007679;100;286.0;2875.0;418.89
B;008658;100;304.0;2892.0;442.18
B;009415;100;301.0;2600.0;476.97
B;008468;100;288.0;847.0;361.05
B;009047;100;295.0;2766.0;498.63
B;007842;100;293.0;1277.0;413.88
B;008261;100;290.0;1931.0;483.61
B;005716;101;324.0;2457.0;567.07
B;007508;100;308.0;1941.0;435.24
B;008738;100;305.0;1455.0;408.62
B;005795;100;339.0;2709.0;545.2
B;006487;100;260.0;2896.0;495.53
B;008187;100;280.0;1614.0;428.06
B;008266;100;287.0;2382.0;458.63
B;009326;101;294.0;3471.0;601.18
B;006698;100;305.0;2967.0;679.16
B;009001;101;287.0;2157.0;446.86
B;007260;100;277.0;3274.0;533.4
B;006928;100;286.0;2879.0;486.21
B;006404;100;378.0;2004.0;612.64
B;007185;100;292.0;3280.0;527.04
B;007596;100;302.0;2343.0;483.96
B;007053;100;291.0;3100.0;614.39
B;009514;99;282.0;3302.0;568.58
B;007187;100;291.0;2716.0;456.69
B;008835;100;292.0;2235.0;474.44
B;008940;100;284.0;1733.0;364.2
B;005950;100;338.0;1090.0;465.94
B;009416;100;322.0;2870.0;566.81
