-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A
FA: 006568          MIN: 0T:0h:6m:16s        MAX: 0T:0h:6m:16s        AVG: 0T:0h:6m:16s      Ausschussfaktor: 4.04 %
FA: 006622          MIN: 0T:0h:5m:2s        MAX: 0T:0h:16m:57s        AVG: 0T:0h:11m:31s      Ausschussfaktor: 5.00 %
FA: 006623          MIN: 0T:0h:36m:27s        MAX: 0T:0h:38m:28s        AVG: 0T:0h:37m:27s      Ausschussfaktor: 2.02 %
FA: 006624          MIN: 0T:0h:10m:52s        MAX: 0T:0h:10m:52s        AVG: 0T:0h:10m:52s      Ausschussfaktor: 2.00 %
FA: 006651          MIN: 0T:0h:29m:42s        MAX: 0T:16h:23m:6s        AVG: 0T:4h:13m:47s      Ausschussfaktor: 6.00 %
FA: 006652          MIN: 0T:0h:18m:53s        MAX: 5T:6h:48m:7s        AVG: 0T:16h:19m:5s      Ausschussfaktor: 7.77 %
FA: 006692          MIN: 0T:0h:22m:30s        MAX: 0T:0h:22m:30s        AVG: 0T:0h:22m:30s      Ausschussfaktor: 1.00 %
FA: 006693          MIN: 0T:0h:8m:11s        MAX: 0T:0h:8m:11s        AVG: 0T:0h:8m:11s      Ausschussfaktor: 2.00 %
FA: 006694          MIN: 0T:0h:6m:20s        MAX: 0T:0h:12m:35s        AVG: 0T:0h:9m:36s      Ausschussfaktor: 6.00 %
FA: 006695          MIN: 0T:0h:28m:32s        MAX: 0T:1h:5m:11s        AVG: 0T:0h:48m:8s      Ausschussfaktor: 4.00 %
FA: 006696          MIN: 0T:0h:11m:40s        MAX: 0T:0h:42m:31s        AVG: 0T:0h:30m:24s      Ausschussfaktor: 6.00 %
FA: 006697          MIN: 0T:0h:10m:32s        MAX: 0T:0h:11m:7s        AVG: 0T:0h:10m:49s      Ausschussfaktor: 2.00 %
FA: 006698          MIN: 0T:0h:10m:15s        MAX: 0T:0h:10m:15s        AVG: 0T:0h:10m:15s      Ausschussfaktor: 4.00 %
FA: 006772          MIN: 0T:1h:13m:20s        MAX: 0T:2h:23m:56s        AVG: 0T:1h:39m:41s      Ausschussfaktor: 5.00 %
FA: 006773          MIN: 0T:0h:51m:46s        MAX: 2T:7h:22m:19s        AVG: 0T:14h:44m:52s      Ausschussfaktor: 4.95 %
FA: 006774          MIN: 0T:0h:5m:7s        MAX: 1T:17h:22m:37s        AVG: 0T:6h:6m:48s      Ausschussfaktor: 8.91 %
FA: 006775          MIN: 0T:0h:5m:8s        MAX: 0T:0h:11m:30s        AVG: 0T:0h:7m:25s      Ausschussfaktor: 10.10 %
FA: 006776          MIN: 0T:0h:4m:22s        MAX: 0T:7h:6m:35s        AVG: 0T:1h:59m:29s      Ausschussfaktor: 5.05 %
FA: 006777          MIN: 0T:0h:10m:32s        MAX: 0T:4h:33m:58s        AVG: 0T:1h:43m:3s      Ausschussfaktor: 13.00 %
FA: 006778          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006855          MIN: 0T:0h:7m:42s        MAX: 0T:0h:7m:42s        AVG: 0T:0h:7m:42s      Ausschussfaktor: 1.00 %
FA: 006856          MIN: 0T:0h:11m:13s        MAX: 0T:0h:15m:47s        AVG: 0T:0h:13m:30s      Ausschussfaktor: 2.00 %
FA: 006857          MIN: 0T:0h:16m:11s        MAX: 0T:0h:41m:41s        AVG: 0T:0h:28m:56s      Ausschussfaktor: 2.00 %
FA: 006858          MIN: 0T:0h:5m:19s        MAX: 0T:0h:46m:15s        AVG: 0T:0h:25m:18s      Ausschussfaktor: 10.00 %
FA: 006860          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006861          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006862          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006925          MIN: 0T:0h:30m:52s        MAX: 0T:1h:23m:4s        AVG: 0T:1h:1m:17s      Ausschussfaktor: 7.07 %
FA: 006926          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006927          MIN: 0T:0h:38m:3s        MAX: 0T:1h:54m:29s        AVG: 0T:1h:26m:47s      Ausschussfaktor: 4.00 %
FA: 006928          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006929          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006986          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006987          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006988          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006989          MIN: 0T:0h:9m:7s        MAX: 0T:0h:13m:48s        AVG: 0T:0h:10m:44s      Ausschussfaktor: 3.00 %
FA: 006990          MIN: 0T:0h:4m:43s        MAX: 0T:0h:4m:43s        AVG: 0T:0h:4m:43s      Ausschussfaktor: 1.00 %
FA: 006991          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 007047          MIN: 0T:0h:6m:40s        MAX: 0T:0h:6m:40s        AVG: 0T:0h:6m:40s      Ausschussfaktor: 2.00 %
FA: 007048          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007049          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 007050          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007051          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 007052          MIN: 0T:0h:15m:27s        MAX: 0T:0h:15m:27s        AVG: 0T:0h:15m:27s      Ausschussfaktor: 1.00 %
FA: 007053          MIN: 0T:0h:6m:48s        MAX: 0T:0h:6m:48s        AVG: 0T:0h:6m:48s      Ausschussfaktor: 8.00 %
FA: 007105          MIN: 0T:1h:15m:46s        MAX: 0T:2h:51m:3s        AVG: 0T:2h:3m:24s      Ausschussfaktor: 4.00 %
FA: 007106          MIN: 0T:0h:18m:7s        MAX: 0T:0h:23m:33s        AVG: 0T:0h:20m:53s      Ausschussfaktor: 3.00 %
FA: 007107          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007108          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007109          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007110          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007182          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 007183          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007184          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 007185          MIN: 0T:0h:5m:16s        MAX: 0T:0h:5m:16s        AVG: 0T:0h:5m:16s      Ausschussfaktor: 1.00 %
