-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 006024     Anzahl gefertigt: 100        MIN: 0T:0h:5m:26s        MAX: 0T:0h:55m:51s        AVG: 0T:0h:9m:6s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006025     Anzahl gefertigt: 98        MIN: 0T:0h:4m:22s        MAX: 0T:0h:42m:41s        AVG: 0T:0h:9m:46s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.08 %
FA: 006026     Anzahl gefertigt: 100        MIN: 0T:0h:5m:30s        MAX: 0T:0h:59m:37s        AVG: 0T:0h:10m:20s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 6.00 %
FA: 006027     Anzahl gefertigt: 100        MIN: 0T:0h:5m:33s        MAX: 0T:0h:51m:26s        AVG: 0T:0h:8m:55s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 006028     Anzahl gefertigt: 100        MIN: 0T:0h:5m:32s        MAX: 0T:0h:42m:26s        AVG: 0T:0h:9m:39s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.00 %
FA: 006029     Anzahl gefertigt: 101        MIN: 0T:0h:5m:35s        MAX: 0T:0h:38m:1s        AVG: 0T:0h:8m:48s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.97 %
FA: 006100     Anzahl gefertigt: 100        MIN: 0T:0h:5m:30s        MAX: 0T:0h:42m:23s        AVG: 0T:0h:11m:17s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 8.00 %
FA: 006101     Anzahl gefertigt: 100        MIN: 0T:0h:5m:28s        MAX: 0T:0h:50m:41s        AVG: 0T:0h:8m:40s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.00 %
FA: 006102     Anzahl gefertigt: 100        MIN: 0T:0h:5m:29s        MAX: 0T:0h:47m:50s        AVG: 0T:0h:9m:45s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 6.00 %
FA: 006103     Anzahl gefertigt: 100        MIN: 0T:0h:5m:28s        MAX: 0T:0h:47m:29s        AVG: 0T:0h:9m:27s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
