Hinweise:

Anzahl gefertigt = Anzahl der Stücke (SNR), welche erfolgreich durch die Maschine (Output vorhanden) gelaufen sind - doppelte SNR im zählen nur einfach
MIN - minimale Fertigungszeit (Input DS - letzer Output zu Input DS)
MAX - maximale Fertigungszeit (Input DS - letzer Output zu Input DS)
AVG - durchschnittliche Fertigungszeit (alle Fertigungszeiten addiert, dividiert durch Anzahl der verwendeten Input DS)
MIN_FAIL - minimaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
MAX_FAIL - maximaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
AVG_FAIL - durchschnittlicher Ausschuss (Anzahl aller Ausschüsse addiert, dividiert durch Anzahl gefertigt) - in den Daten habe ich vergessen mit 100 zu multiplizieren oder % weg

Es treten noch sehr selten negative Werte im MIN auf. Habe den Fehler aber noch nicht gefunden. 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 006404     Anzahl gefertigt: 100        MIN: 6.15 min        MAX: 33.40 min        AVG: 10.74 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006451     Anzahl gefertigt: 100        MIN: 4.97 min        MAX: 53.37 min        AVG: 9.70 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006452     Anzahl gefertigt: 99        MIN: 6.27 min        MAX: 45.07 min        AVG: 9.97 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
FA: 006482     Anzahl gefertigt: 100        MIN: 5.12 min        MAX: 28.33 min        AVG: 7.15 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006483     Anzahl gefertigt: 100        MIN: 5.05 min        MAX: 28.83 min        AVG: 8.34 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006484     Anzahl gefertigt: 101        MIN: 4.70 min        MAX: 41.67 min        AVG: 12.15 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006485     Anzahl gefertigt: 100        MIN: 4.73 min        MAX: 49.27 min        AVG: 9.39 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.03 %
FA: 006486     Anzahl gefertigt: 99        MIN: 4.67 min        MAX: 46.50 min        AVG: 8.69 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006487     Anzahl gefertigt: 100        MIN: 4.33 min        MAX: 48.27 min        AVG: 9.40 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006561     Anzahl gefertigt: 100        MIN: 4.88 min        MAX: 48.45 min        AVG: 12.09 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006562     Anzahl gefertigt: 199        MIN: 3.63 min        MAX: 55.60 min        AVG: 10.95 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006564     Anzahl gefertigt: 100        MIN: 4.63 min        MAX: 45.57 min        AVG: 13.31 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
