TEIL;FA;COUNT;MIN;MAX;AVG
B;009222              ;100;294.00;1222.00;417.67
B;009223              ;100;297.00;2497.00;448.22
B;009224              ;100;283.00;3393.00;391.88
B;009320              ;100;294.00;2519.00;447.13
B;009321              ;100;291.00;3563.00;465.15
B;009322              ;100;305.00;3309.00;548.16
B;009323              ;100;296.00;3226.00;591.87
B;009324              ;101;287.00;2177.00;584.38
B;009325              ;100;297.00;2580.00;446.65
B;009326              ;101;294.00;3471.00;601.18
B;009327              ;99;297.00;3297.00;575.52
B;009328              ;100;292.00;1352.00;476.36
B;009411              ;100;300.00;2251.00;512.90
B;009412              ;100;292.00;1520.00;510.57
B;009413              ;100;298.00;2044.00;504.92
B;009414              ;100;304.00;2593.00;512.44
B;009415              ;100;301.00;2600.00;476.97
B;009416              ;100;322.00;2870.00;566.81
B;009417              ;100;311.00;1850.00;474.09
B;009418              ;100;306.00;3560.00;598.40
B;009419              ;100;288.00;2823.00;495.95
B;009514              ;99;282.00;3302.00;568.40
B;009515              ;100;291.00;2961.00;534.63
B;009516              ;100;286.00;2258.00;479.87
B;009517              ;100;286.00;2508.00;406.16
B;009518              ;100;285.00;1127.00;371.34
B;009519              ;100;273.00;2186.00;451.26
B;009520              ;100;299.00;2248.00;481.70
B;009521              ;100;302.00;3486.00;444.35
B;009522              ;101;303.00;1474.00;447.68
B;009523              ;100;303.00;3394.00;542.78
B;009609              ;100;289.00;3587.00;501.77
B;009610              ;100;299.00;2232.00;423.84
B;009611              ;100;295.00;1976.00;436.56
B;009612              ;104;298.00;1905.00;484.13
B;009613              ;100;280.00;2646.00;395.26
B;009614              ;100;279.00;2602.00;409.41
B;009615              ;100;282.00;2974.00;507.83
B;009616              ;100;282.00;3440.00;584.99
B;009697              ;100;281.00;1968.00;392.32
B;009698              ;100;280.00;2327.00;413.56
B;009699              ;100;274.00;2529.00;414.61
B;009700              ;100;273.00;1866.00;427.58
B;009701              ;99;280.00;3191.00;595.74
B;009702              ;100;284.00;2657.00;433.70
B;009703              ;100;283.00;2356.00;465.82
B;009704              ;101;270.00;3064.00;482.03
C;005689              ;91;600.00;1906.00;707.67
C;005690              ;101;601.00;1957.00;722.58
C;005691              ;100;601.00;1402.00;740.80
C;005692              ;100;603.00;3421.00;794.06
C;005693              ;101;602.00;2959.00;728.65
C;005694              ;100;602.00;2261.00;703.71
C;005695              ;100;600.00;2228.00;756.98
C;005696              ;100;599.00;3150.00;750.91
C;005697              ;100;598.00;3480.00;806.45
C;005698              ;100;603.00;2240.00;716.82
C;005699              ;100;605.00;1798.00;724.89
C;005700              ;100;606.00;1897.00;692.59
C;005701              ;100;601.00;2024.00;768.01
C;005702              ;100;599.00;2809.00;829.14
C;005769              ;100;604.00;3135.00;780.07
C;005770              ;101;609.00;2123.00;736.05
C;005771              ;100;609.00;2590.00;730.88
C;005772              ;100;607.00;2760.00;806.01
C;005773              ;100;611.00;1011.00;675.95
C;005774              ;100;608.00;1835.00;732.01
C;005775              ;100;612.00;3223.00;778.53
C;005776              ;101;612.00;2714.00;794.62
C;005777              ;100;607.00;3131.00;826.04
C;005778              ;99;607.00;2999.00;783.32
C;005779              ;100;607.00;2564.00;722.08
C;005780              ;100;607.00;3100.00;766.36
C;005781              ;100;611.00;2213.00;747.12
C;005782              ;100;613.00;2756.00;797.38
C;005783              ;100;613.00;2341.00;777.18
C;005784              ;100;612.00;2259.00;720.84
C;005845              ;100;615.00;3245.00;794.35
C;005846              ;102;615.00;2298.00;765.14
C;005847              ;99;615.00;2605.00;781.36
C;005848              ;100;615.00;3426.00;784.58
C;005849              ;100;614.00;3383.00;857.75
C;005850              ;100;613.00;1560.00;745.47
C;005851              ;100;616.00;1375.00;687.70
C;005852              ;100;619.00;2613.00;816.45
C;005853              ;100;618.00;1698.00;695.98
C;005854              ;100;619.00;1557.00;748.68
C;005855              ;100;612.00;3102.00;851.95
C;005856              ;100;615.00;2434.00;763.21
C;005857              ;101;616.00;2159.00;725.69
C;005858              ;100;617.00;2066.00;744.07
C;005920              ;100;614.00;2349.00;774.61
C;005921              ;100;615.00;2337.00;761.83
C;005922              ;100;616.00;3313.00;800.02
C;005923              ;100;620.00;3302.00;862.30
C;005924              ;100;624.00;2157.00;778.59
C;005925              ;100;622.00;1360.00;738.55
C;005926              ;100;622.00;2165.00;747.57
C;005927              ;100;623.00;3582.00;821.13
C;005928              ;100;623.00;1388.00;710.98
C;005929              ;100;621.00;2387.00;792.35
C;005930              ;101;622.00;1757.00;751.18
C;005931              ;100;621.00;3551.00;859.57
C;005932              ;100;625.00;2051.00;712.86
C;005933              ;100;624.00;2417.00;796.74
C;005934              ;100;625.00;1479.00;775.26
C;005935              ;100;627.00;3561.00;858.09
C;006002              ;100;623.00;2394.00;757.54
C;006003              ;100;623.00;2025.00;777.62
C;006004              ;99;551.00;3431.00;1060.34
C;006005              ;100;621.00;3565.00;810.47
C;006006              ;100;623.00;3479.00;792.40
C;006007              ;99;621.00;2690.00;823.45
C;006008              ;100;622.00;2453.00;779.69
C;006009              ;100;639.00;1507.00;738.48
C;006010              ;100;616.00;2121.00;906.09
C;006011              ;100;617.00;2190.00;789.57
C;006012              ;101;375.00;2674.00;666.04
C;006013              ;100;375.00;2102.00;470.45
C;006014              ;100;374.00;1450.00;466.03
C;006015              ;100;375.00;2023.00;472.06
C;006076              ;100;370.00;2094.00;460.41
C;006077              ;99;311.00;3311.00;549.66
C;006078              ;100;371.00;1888.00;489.83
C;006079              ;100;376.00;2970.00;545.28
C;006080              ;98;371.00;3219.00;567.02
C;006081              ;100;373.00;2276.00;550.05
C;006082              ;100;374.00;2433.00;485.19
C;006083              ;100;373.00;2015.00;462.83
C;006084              ;100;387.00;2705.00;522.65
C;006085              ;100;385.00;2185.00;524.59
C;006086              ;99;309.00;2858.00;550.89
C;006087              ;102;370.00;2340.00;529.38
C;006088              ;98;355.00;3370.00;577.61
C;006089              ;100;373.00;1653.00;489.96
C;006090              ;100;374.00;2249.00;468.03
C;006091              ;100;373.00;3150.00;571.83
C;006156              ;99;336.00;1187.00;475.09
C;006157              ;100;378.00;2611.00;576.15
C;006158              ;100;381.00;3490.00;514.59
C;006159              ;100;379.00;2219.00;567.11
C;006160              ;100;379.00;2886.00;538.01
C;006161              ;100;382.00;1461.00;533.70
C;006162              ;100;382.00;3130.00;570.26
C;006163              ;100;373.00;2452.00;474.18
C;006164              ;100;372.00;3266.00;563.36
C;006165              ;100;372.00;1901.00;494.06
C;006166              ;100;381.00;2515.00;537.36
C;006167              ;100;381.00;3409.00;523.66
C;006168              ;99;321.00;1943.00;570.69
C;006169              ;100;384.00;1798.00;484.23
C;006229              ;100;390.00;2892.00;558.62
C;006230              ;100;391.00;1562.00;557.78
C;006231              ;100;385.00;3030.00;559.44
C;006232              ;100;392.00;1514.00;486.28
C;006233              ;99;381.00;2754.00;589.26
C;006234              ;100;385.00;2999.00;558.28
C;006235              ;100;391.00;1984.00;566.47
C;006236              ;100;391.00;1746.00;497.79
C;006237              ;100;386.00;2301.00;481.85
C;006238              ;100;383.00;3013.00;595.81
C;006239              ;100;385.00;2605.00;576.50
C;006240              ;100;386.00;1816.00;547.86
C;006299              ;100;384.00;1625.00;495.13
C;006300              ;100;390.00;1625.00;502.09
C;006301              ;100;389.00;1955.00;550.83
C;006302              ;100;392.00;1661.00;501.67
C;006303              ;100;393.00;2619.00;510.21
C;006304              ;100;392.00;3174.00;566.16
C;006305              ;102;390.00;1774.00;552.28
C;006306              ;100;385.00;2476.00;540.16
C;006307              ;100;386.00;2884.00;540.12
C;006308              ;99;385.00;1628.00;519.34
C;006309              ;100;393.00;3075.00;547.18
C;006310              ;101;403.00;2298.00;526.58
C;006311              ;100;394.00;2516.00;513.95
C;006312              ;100;394.00;2024.00;603.37
C;006375              ;101;414.00;1241.00;523.27
C;006376              ;100;407.00;3248.00;569.85
C;006377              ;100;406.00;1511.00;493.91
C;006378              ;97;408.00;1879.00;551.38
C;006379              ;100;412.00;2258.00;530.95
